Common Name,Scientific Name,Growth Type,Edible,Medicinal Use,Optimal Temperature (°C),Humidity Preference (%),Sunlight Requirement,Climate Suitability,Preferred Soil Type,Soil pH Range,Water Requirement,Irrigation Frequency,Germination Time (Days),Time to Harvest (Days),Companion Planting Suitability,Pruning Requirement,Common Pests,Disease Resistance,Nitrogen Need,Phosphorus Need,Potassium Need,Recommended Organic Fertilizers,Suitable for Region,Suitable for Season
Basil,Ocimum basilicum,Herb,Yes,Yes,22,79,Shade,Subtropical,Silt,7.0,High,Weekly,6,101,Good,Yes,Aphids,Viral,High,High,Medium,Vermicompost,Mumbai,Monsoon
Spinach,Spinacia oleracea,Herb,Yes,No,34,40,Partial Shade,Tropical,Clay,6.4,Low,Weekly,18,56,Good,Yes,Aphids,Viral,Medium,Low,Low,Manure,Bangalore,Summer
Tomato,Solanum lycopersicum,Herb,Yes,No,25,54,Full Sun,Subtropical,Clay,6.4,Low,Weekly,5,43,Bad,No,Bacterial,Fungal,High,Medium,Low,Compost,Bangalore,Summer
Pumpkin,Cucurbita pepo,Vine,Yes,No,35,57,Partial Shade,Arid,Sandy,6.9,Medium,Weekly,9,33,Good,No,Caterpillars,Fungal,Medium,High,Medium,Compost,Bangalore,Summer
Tomato,Solanum lycopersicum,Herb,Yes,No,29,85,Partial Shade,Subtropical,Loam,7.0,Low,Daily,18,101,Bad,Yes,None,None,Medium,High,Medium,Vermicompost,Hyderabad,Winter
Coriander,Coriandrum sativum,Herb,Yes,Yes,16,74,Full Sun,Temperate,Clay,6.2,High,Weekly,16,73,Good,No,Fungal,Bacterial,Medium,Low,Low,Vermicompost,Chennai,Winter
Chili,Capsicum annuum,Shrub,Yes,No,30,49,Full Sun,Subtropical,Loam,7.3,Medium,Daily,18,63,Good,Yes,Aphids,Fungal,Medium,High,Medium,Manure,Mumbai,Monsoon
Tomato,Solanum lycopersicum,Herb,Yes,No,35,45,Partial Shade,Temperate,Loam,6.3,High,Weekly,6,88,Bad,Yes,Caterpillars,Viral,Low,Medium,Low,Compost,Delhi,Winter
Lettuce,Lactuca sativa,Herb,Yes,No,27,87,Shade,Temperate,Silt,6.7,High,Daily,7,94,Good,Yes,Caterpillars,Fungal,High,Low,High,Compost,Hyderabad,Summer
Tomato,Solanum lycopersicum,Herb,Yes,No,32,61,Full Sun,Arid,Loam,6.6,High,Daily,20,65,Good,No,Fungal,Fungal,Medium,High,High,Vermicompost,Chennai,Summer
Carrot,Daucus carota,Herb,Yes,No,17,58,Shade,Arid,Sandy,7.5,Low,Weekly,19,47,Bad,Yes,Aphids,Bacterial,Low,Medium,High,Manure,Hyderabad,Winter
Coriander,Coriandrum sativum,Herb,Yes,Yes,22,43,Full Sun,Temperate,Clay,6.8,High,Weekly,18,85,Good,No,Aphids,Viral,Low,Low,High,Vermicompost,Bangalore,Summer
Mint,Mentha,Herb,Yes,Yes,15,66,Partial Shade,Subtropical,Loam,6.1,Low,Daily,14,57,Bad,Yes,Bacterial,Bacterial,Low,Low,Medium,Compost,Delhi,Monsoon
Carrot,Daucus carota,Herb,Yes,No,29,88,Full Sun,Tropical,Sandy,7.3,High,Daily,13,80,Good,No,Fungal,Bacterial,Medium,High,Medium,Manure,Delhi,Summer
Basil,Ocimum basilicum,Herb,Yes,Yes,31,69,Full Sun,Arid,Loam,7.0,Low,Weekly,5,82,Bad,No,Caterpillars,Fungal,Medium,Medium,High,Manure,Chennai,Winter
Tomato,Solanum lycopersicum,Herb,Yes,No,23,41,Full Sun,Subtropical,Silt,6.8,High,Daily,12,64,Good,Yes,Bacterial,None,High,Low,High,Manure,Bangalore,Summer
Mint,Mentha,Herb,Yes,Yes,17,48,Shade,Tropical,Loam,6.9,High,Daily,7,111,Bad,No,Fungal,Fungal,High,Medium,High,Manure,Hyderabad,Winter
Tomato,Solanum lycopersicum,Herb,Yes,No,19,57,Partial Shade,Tropical,Silt,7.4,High,Weekly,18,102,Bad,Yes,Aphids,Viral,Medium,Medium,Medium,Vermicompost,Bangalore,Summer
Carrot,Daucus carota,Herb,Yes,No,19,51,Shade,Tropical,Clay,7.3,Low,Weekly,20,44,Bad,Yes,None,Bacterial,Medium,High,High,Vermicompost,Mumbai,Summer
Pumpkin,Cucurbita pepo,Vine,Yes,No,19,65,Partial Shade,Subtropical,Loam,5.5,High,Daily,10,50,Bad,Yes,Fungal,Bacterial,Low,Medium,Medium,Vermicompost,Hyderabad,Summer
Spinach,Spinacia oleracea,Herb,Yes,No,29,44,Full Sun,Arid,Silt,5.6,Low,Daily,10,82,Bad,Yes,Caterpillars,Viral,Low,Medium,Low,Vermicompost,Bangalore,Summer
Chili,Capsicum annuum,Shrub,Yes,No,24,81,Partial Shade,Arid,Silt,6.0,Low,Daily,19,99,Bad,Yes,Fungal,Viral,Low,Medium,Low,Manure,Hyderabad,Summer
Carrot,Daucus carota,Herb,Yes,No,19,72,Full Sun,Arid,Peaty,6.6,High,Daily,12,47,Good,No,Fungal,None,Low,Medium,Low,Compost,Chennai,Winter
Mint,Mentha,Herb,Yes,Yes,21,57,Shade,Tropical,Silt,5.7,High,Weekly,17,84,Bad,No,Caterpillars,Fungal,Low,Low,Medium,Compost,Bangalore,Winter
Basil,Ocimum basilicum,Herb,Yes,Yes,22,55,Partial Shade,Subtropical,Peaty,6.0,Medium,Weekly,18,106,Good,No,None,Bacterial,Low,Low,Medium,Compost,Mumbai,Summer
Tomato,Solanum lycopersicum,Herb,Yes,No,35,60,Shade,Subtropical,Sandy,6.5,High,Daily,19,97,Good,No,Aphids,Bacterial,Medium,Low,Medium,Manure,Bangalore,Summer
Chili,Capsicum annuum,Shrub,Yes,No,19,84,Partial Shade,Tropical,Sandy,6.9,Low,Daily,20,57,Good,Yes,Caterpillars,None,Low,High,High,Vermicompost,Mumbai,Monsoon
Chili,Capsicum annuum,Shrub,Yes,No,22,44,Shade,Tropical,Sandy,6.5,High,Daily,6,38,Bad,No,Bacterial,Fungal,Medium,High,Medium,Manure,Hyderabad,Summer
Pumpkin,Cucurbita pepo,Vine,Yes,No,30,59,Partial Shade,Tropical,Clay,6.4,Medium,Weekly,8,112,Bad,No,None,Bacterial,Low,Medium,High,Compost,Delhi,Monsoon
Spinach,Spinacia oleracea,Herb,Yes,No,22,67,Full Sun,Temperate,Loam,7.3,Low,Daily,7,103,Good,No,Aphids,Bacterial,Medium,Low,Low,Compost,Hyderabad,Summer
Carrot,Daucus carota,Herb,Yes,No,16,81,Shade,Subtropical,Sandy,6.8,High,Weekly,17,85,Bad,Yes,Fungal,Fungal,Low,Medium,Low,Manure,Hyderabad,Monsoon
Basil,Ocimum basilicum,Herb,Yes,Yes,35,82,Partial Shade,Subtropical,Silt,7.2,Low,Daily,16,42,Bad,Yes,Bacterial,Viral,Medium,Low,Low,Manure,Bangalore,Winter
Spinach,Spinacia oleracea,Herb,Yes,No,33,42,Full Sun,Tropical,Loam,6.5,High,Daily,12,117,Good,No,Bacterial,None,High,Medium,High,Manure,Chennai,Summer
Tomato,Solanum lycopersicum,Herb,Yes,No,31,56,Shade,Subtropical,Silt,6.1,Low,Weekly,13,49,Bad,No,Aphids,None,Low,Low,Low,Manure,Delhi,Summer
Carrot,Daucus carota,Herb,Yes,No,21,64,Partial Shade,Subtropical,Loam,7.5,Low,Weekly,17,72,Good,Yes,Fungal,Bacterial,High,Low,High,Vermicompost,Mumbai,Winter
Tomato,Solanum lycopersicum,Herb,Yes,No,16,80,Partial Shade,Temperate,Sandy,5.8,High,Daily,14,45,Bad,No,None,Bacterial,High,High,Low,Manure,Mumbai,Summer
Mint,Mentha,Herb,Yes,Yes,19,62,Full Sun,Arid,Clay,6.1,Medium,Weekly,9,105,Bad,No,Caterpillars,Bacterial,High,Low,Low,Vermicompost,Bangalore,Winter
Chili,Capsicum annuum,Shrub,Yes,No,28,68,Shade,Subtropical,Clay,6.5,Low,Daily,8,119,Good,No,Caterpillars,Bacterial,Low,Medium,High,Manure,Mumbai,Winter
Basil,Ocimum basilicum,Herb,Yes,Yes,19,82,Full Sun,Subtropical,Sandy,6.5,Medium,Weekly,5,30,Good,Yes,None,None,High,High,High,Vermicompost,Bangalore,Summer
Spinach,Spinacia oleracea,Herb,Yes,No,33,68,Partial Shade,Arid,Sandy,6.3,High,Weekly,17,32,Good,Yes,Aphids,None,Low,High,Medium,Compost,Chennai,Winter
Coriander,Coriandrum sativum,Herb,Yes,Yes,20,55,Full Sun,Subtropical,Peaty,6.3,Medium,Daily,13,84,Good,No,Aphids,Viral,Medium,Medium,Medium,Compost,Bangalore,Summer
Basil,Ocimum basilicum,Herb,Yes,Yes,22,65,Shade,Arid,Sandy,5.5,High,Weekly,6,81,Bad,Yes,Fungal,Fungal,Low,High,High,Manure,Delhi,Summer
Coriander,Coriandrum sativum,Herb,Yes,Yes,25,43,Full Sun,Subtropical,Sandy,6.3,Medium,Weekly,9,62,Good,No,Fungal,Viral,High,High,Low,Compost,Mumbai,Winter
Coriander,Coriandrum sativum,Herb,Yes,Yes,17,40,Partial Shade,Subtropical,Clay,5.7,Low,Daily,10,105,Bad,Yes,Aphids,Bacterial,High,Low,Low,Compost,Delhi,Summer
Carrot,Daucus carota,Herb,Yes,No,35,48,Full Sun,Arid,Sandy,5.6,High,Weekly,8,88,Bad,No,Fungal,Fungal,Medium,High,Medium,Manure,Delhi,Winter
Carrot,Daucus carota,Herb,Yes,No,19,41,Shade,Temperate,Loam,6.1,Medium,Daily,17,59,Good,Yes,None,None,High,Medium,Medium,Compost,Mumbai,Monsoon
Carrot,Daucus carota,Herb,Yes,No,23,83,Shade,Tropical,Silt,7.2,Low,Weekly,9,88,Good,Yes,None,Bacterial,Low,Medium,High,Vermicompost,Mumbai,Winter
Pumpkin,Cucurbita pepo,Vine,Yes,No,19,44,Shade,Subtropical,Peaty,5.8,High,Weekly,5,114,Bad,No,Bacterial,Viral,High,Medium,High,Vermicompost,Delhi,Summer
Chili,Capsicum annuum,Shrub,Yes,No,22,65,Full Sun,Subtropical,Loam,5.9,High,Daily,14,85,Good,Yes,Fungal,None,Medium,Low,Low,Manure,Delhi,Summer
Carrot,Daucus carota,Herb,Yes,No,23,89,Full Sun,Subtropical,Sandy,6.5,Medium,Weekly,8,94,Bad,No,None,Fungal,Low,Medium,Low,Vermicompost,Delhi,Summer
Radish,Raphanus sativus,Herb,Yes,No,15,66,Shade,Tropical,Peaty,6.5,High,Weekly,8,109,Good,Yes,Caterpillars,Bacterial,Medium,High,High,Compost,Delhi,Winter
Pumpkin,Cucurbita pepo,Vine,Yes,No,34,70,Shade,Temperate,Sandy,7.4,Low,Weekly,18,67,Bad,Yes,Caterpillars,Bacterial,Low,Low,Medium,Compost,Hyderabad,Summer
Chili,Capsicum annuum,Shrub,Yes,No,22,68,Shade,Tropical,Peaty,6.3,Medium,Daily,6,87,Good,No,Aphids,None,Medium,Medium,High,Manure,Hyderabad,Monsoon
Mint,Mentha,Herb,Yes,Yes,27,82,Shade,Arid,Sandy,5.5,High,Weekly,15,55,Good,No,None,Fungal,High,High,Medium,Compost,Hyderabad,Summer
Radish,Raphanus sativus,Herb,Yes,No,35,90,Full Sun,Subtropical,Clay,6.8,Low,Weekly,5,43,Bad,No,Aphids,Viral,High,Low,High,Vermicompost,Bangalore,Winter
Basil,Ocimum basilicum,Herb,Yes,Yes,19,75,Partial Shade,Subtropical,Silt,6.0,Low,Weekly,7,54,Bad,Yes,Fungal,Bacterial,Medium,Medium,Low,Compost,Hyderabad,Summer
Coriander,Coriandrum sativum,Herb,Yes,Yes,29,88,Partial Shade,Arid,Sandy,6.7,Medium,Weekly,18,32,Good,No,Aphids,None,High,High,Medium,Compost,Bangalore,Winter
Tomato,Solanum lycopersicum,Herb,Yes,No,24,75,Full Sun,Subtropical,Silt,7.0,Low,Weekly,13,102,Bad,Yes,None,Viral,Low,Medium,High,Vermicompost,Mumbai,Monsoon
Pumpkin,Cucurbita pepo,Vine,Yes,No,32,78,Partial Shade,Subtropical,Sandy,7.4,High,Weekly,15,52,Good,No,Caterpillars,Bacterial,Low,High,Medium,Manure,Delhi,Summer
Radish,Raphanus sativus,Herb,Yes,No,26,79,Partial Shade,Subtropical,Loam,5.7,Medium,Daily,19,94,Good,Yes,Bacterial,Fungal,Medium,Low,High,Manure,Mumbai,Summer
Chili,Capsicum annuum,Shrub,Yes,No,21,75,Full Sun,Temperate,Loam,6.3,Medium,Weekly,10,65,Good,Yes,Fungal,Bacterial,High,Medium,High,Manure,Hyderabad,Summer
Radish,Raphanus sativus,Herb,Yes,No,33,82,Partial Shade,Temperate,Silt,6.8,Low,Weekly,5,88,Good,Yes,Bacterial,None,Low,Medium,Low,Compost,Delhi,Summer
Pumpkin,Cucurbita pepo,Vine,Yes,No,15,43,Shade,Temperate,Silt,7.3,Low,Weekly,16,111,Good,No,None,None,Medium,Low,Medium,Vermicompost,Mumbai,Winter
Radish,Raphanus sativus,Herb,Yes,No,32,43,Full Sun,Arid,Sandy,6.5,Medium,Daily,10,101,Good,Yes,Fungal,Bacterial,High,Medium,Medium,Compost,Chennai,Summer
Pumpkin,Cucurbita pepo,Vine,Yes,No,23,53,Shade,Arid,Clay,5.7,Medium,Daily,9,77,Good,No,Caterpillars,None,Low,Low,High,Vermicompost,Mumbai,Winter
Lettuce,Lactuca sativa,Herb,Yes,No,18,59,Partial Shade,Arid,Clay,6.4,High,Weekly,17,101,Good,Yes,Fungal,Bacterial,High,High,Low,Compost,Bangalore,Winter
Spinach,Spinacia oleracea,Herb,Yes,No,32,53,Full Sun,Arid,Clay,5.5,High,Daily,20,93,Bad,Yes,None,Viral,High,Low,Low,Compost,Chennai,Winter
Lettuce,Lactuca sativa,Herb,Yes,No,18,48,Shade,Subtropical,Clay,6.7,Medium,Weekly,16,40,Bad,Yes,Aphids,Bacterial,Medium,Low,High,Manure,Bangalore,Monsoon
Mint,Mentha,Herb,Yes,Yes,15,66,Shade,Arid,Silt,7.1,High,Weekly,8,92,Good,Yes,Aphids,Bacterial,High,High,Medium,Vermicompost,Delhi,Monsoon
Coriander,Coriandrum sativum,Herb,Yes,Yes,34,56,Partial Shade,Temperate,Sandy,7.5,Medium,Weekly,10,44,Bad,No,Aphids,None,High,Medium,Medium,Vermicompost,Hyderabad,Summer
Pumpkin,Cucurbita pepo,Vine,Yes,No,18,57,Shade,Tropical,Sandy,7.3,High,Weekly,12,83,Bad,Yes,Caterpillars,Viral,Low,Medium,High,Vermicompost,Hyderabad,Summer
Mint,Mentha,Herb,Yes,Yes,17,74,Partial Shade,Tropical,Peaty,6.8,High,Weekly,20,51,Good,No,Bacterial,Bacterial,High,Low,Medium,Manure,Hyderabad,Monsoon
Lettuce,Lactuca sativa,Herb,Yes,No,32,70,Full Sun,Temperate,Peaty,6.5,Low,Weekly,5,104,Good,Yes,None,Bacterial,Low,High,High,Vermicompost,Delhi,Winter
Tomato,Solanum lycopersicum,Herb,Yes,No,34,75,Partial Shade,Subtropical,Peaty,7.3,Medium,Daily,10,78,Bad,Yes,None,Fungal,Low,Low,Low,Compost,Delhi,Summer
Lettuce,Lactuca sativa,Herb,Yes,No,17,82,Full Sun,Tropical,Clay,7.1,Low,Daily,10,69,Good,Yes,Caterpillars,Bacterial,High,Low,Low,Vermicompost,Delhi,Summer
Coriander,Coriandrum sativum,Herb,Yes,Yes,16,42,Full Sun,Arid,Silt,6.8,High,Weekly,7,59,Bad,No,None,None,Medium,High,Medium,Manure,Chennai,Winter
Lettuce,Lactuca sativa,Herb,Yes,No,31,47,Shade,Subtropical,Silt,5.6,Medium,Daily,16,40,Bad,Yes,None,None,Medium,Medium,High,Compost,Hyderabad,Summer
Tomato,Solanum lycopersicum,Herb,Yes,No,23,41,Shade,Arid,Silt,5.9,High,Weekly,17,43,Good,No,None,Viral,Low,Low,High,Compost,Hyderabad,Summer
Mint,Mentha,Herb,Yes,Yes,29,56,Full Sun,Temperate,Peaty,6.7,Low,Daily,12,56,Bad,Yes,Bacterial,Viral,High,Low,High,Vermicompost,Hyderabad,Monsoon
Spinach,Spinacia oleracea,Herb,Yes,No,34,82,Full Sun,Arid,Peaty,7.3,Low,Daily,9,88,Good,No,Bacterial,None,Low,High,Medium,Compost,Bangalore,Summer
Carrot,Daucus carota,Herb,Yes,No,31,67,Partial Shade,Tropical,Silt,5.7,Medium,Daily,13,30,Bad,Yes,Fungal,Bacterial,Low,High,Medium,Manure,Delhi,Winter
Radish,Raphanus sativus,Herb,Yes,No,21,53,Full Sun,Arid,Sandy,6.5,Medium,Daily,11,91,Good,Yes,Caterpillars,Viral,Low,Low,Medium,Compost,Chennai,Winter
Lettuce,Lactuca sativa,Herb,Yes,No,22,82,Full Sun,Tropical,Loam,5.6,High,Daily,6,62,Bad,Yes,None,Viral,Medium,Medium,High,Manure,Mumbai,Winter
Coriander,Coriandrum sativum,Herb,Yes,Yes,35,44,Shade,Arid,Silt,6.7,High,Daily,19,37,Bad,No,Fungal,Viral,High,Low,High,Manure,Hyderabad,Monsoon
Mint,Mentha,Herb,Yes,Yes,26,60,Full Sun,Temperate,Sandy,6.3,Low,Daily,20,80,Good,Yes,Fungal,Bacterial,Medium,Medium,Medium,Vermicompost,Bangalore,Summer
Coriander,Coriandrum sativum,Herb,Yes,Yes,16,84,Partial Shade,Tropical,Clay,5.9,Low,Daily,20,58,Good,Yes,Bacterial,Viral,High,High,Medium,Vermicompost,Hyderabad,Winter
Chili,Capsicum annuum,Shrub,Yes,No,33,50,Full Sun,Arid,Clay,6.2,Low,Daily,5,43,Good,No,Caterpillars,Bacterial,Medium,High,Medium,Vermicompost,Bangalore,Monsoon
Pumpkin,Cucurbita pepo,Vine,Yes,No,21,63,Full Sun,Temperate,Loam,7.0,Low,Weekly,12,61,Bad,Yes,Caterpillars,Bacterial,Low,Low,High,Vermicompost,Delhi,Summer
Radish,Raphanus sativus,Herb,Yes,No,22,74,Full Sun,Arid,Sandy,6.9,Medium,Weekly,8,71,Good,No,Caterpillars,None,Low,High,Low,Manure,Chennai,Winter
Lettuce,Lactuca sativa,Herb,Yes,No,20,52,Partial Shade,Subtropical,Loam,6.2,Low,Daily,14,79,Good,Yes,Caterpillars,Fungal,Low,High,High,Vermicompost,Mumbai,Summer
Pumpkin,Cucurbita pepo,Vine,Yes,No,32,47,Partial Shade,Subtropical,Clay,6.0,Medium,Daily,13,65,Bad,Yes,Fungal,Bacterial,Medium,Medium,Low,Manure,Delhi,Monsoon
Pumpkin,Cucurbita pepo,Vine,Yes,No,35,72,Shade,Temperate,Silt,6.2,High,Weekly,13,84,Good,No,Fungal,Viral,Low,Low,Medium,Vermicompost,Delhi,Winter
Coriander,Coriandrum sativum,Herb,Yes,Yes,26,51,Partial Shade,Tropical,Sandy,6.0,High,Daily,14,62,Bad,Yes,Fungal,Viral,Medium,High,Low,Compost,Delhi,Winter
Pumpkin,Cucurbita pepo,Vine,Yes,No,25,67,Full Sun,Subtropical,Peaty,6.1,High,Weekly,5,72,Good,No,Bacterial,None,Medium,Medium,High,Manure,Bangalore,Summer
Pumpkin,Cucurbita pepo,Vine,Yes,No,21,62,Shade,Arid,Clay,6.2,Medium,Weekly,10,83,Bad,Yes,Bacterial,Fungal,Medium,Medium,Medium,Compost,Hyderabad,Summer
Lettuce,Lactuca sativa,Herb,Yes,No,22,81,Shade,Arid,Sandy,7.5,Low,Daily,15,113,Bad,Yes,Fungal,Bacterial,Medium,Medium,Low,Vermicompost,Hyderabad,Monsoon
Radish,Raphanus sativus,Herb,Yes,No,31,78,Partial Shade,Temperate,Loam,7.2,Low,Weekly,13,104,Good,No,None,Fungal,Medium,High,Medium,Vermicompost,Mumbai,Summer
Coriander,Coriandrum sativum,Herb,Yes,Yes,28,75,Partial Shade,Temperate,Sandy,7.2,High,Daily,13,38,Bad,Yes,None,Fungal,Low,High,High,Vermicompost,Mumbai,Monsoon
Pumpkin,Cucurbita pepo,Vine,Yes,No,34,80,Shade,Temperate,Clay,6.6,High,Weekly,17,102,Good,Yes,Fungal,Bacterial,High,High,High,Compost,Chennai,Monsoon
Radish,Raphanus sativus,Herb,Yes,No,30,54,Partial Shade,Arid,Clay,5.8,Medium,Daily,9,42,Good,No,Bacterial,Viral,High,Medium,Low,Vermicompost,Delhi,Summer
Carrot,Daucus carota,Herb,Yes,No,21,70,Full Sun,Subtropical,Sandy,6.8,High,Weekly,18,102,Bad,Yes,Aphids,Viral,Low,Low,High,Compost,Bangalore,Monsoon
Lettuce,Lactuca sativa,Herb,Yes,No,29,80,Partial Shade,Subtropical,Clay,6.4,Medium,Weekly,19,50,Good,No,Caterpillars,Bacterial,High,Medium,Medium,Manure,Chennai,Monsoon
Pumpkin,Cucurbita pepo,Vine,Yes,No,24,56,Partial Shade,Temperate,Loam,6.6,Medium,Daily,8,98,Bad,Yes,Caterpillars,Fungal,Low,Low,Low,Compost,Mumbai,Winter
Chili,Capsicum annuum,Shrub,Yes,No,31,82,Partial Shade,Temperate,Silt,6.4,Medium,Weekly,7,35,Bad,Yes,Bacterial,Bacterial,High,High,Low,Manure,Bangalore,Summer
Carrot,Daucus carota,Herb,Yes,No,27,47,Partial Shade,Tropical,Clay,7.3,High,Daily,16,116,Good,Yes,None,Viral,Low,High,Low,Compost,Hyderabad,Monsoon
Spinach,Spinacia oleracea,Herb,Yes,No,24,85,Full Sun,Arid,Silt,7.3,Low,Weekly,18,40,Good,No,Aphids,Fungal,Medium,Low,Low,Vermicompost,Hyderabad,Summer
Radish,Raphanus sativus,Herb,Yes,No,20,62,Full Sun,Arid,Silt,5.8,Low,Weekly,12,35,Bad,Yes,None,None,Medium,Medium,High,Manure,Hyderabad,Winter
Mint,Mentha,Herb,Yes,Yes,29,72,Shade,Subtropical,Silt,5.9,Medium,Daily,8,100,Bad,No,Aphids,Bacterial,Low,High,Medium,Manure,Hyderabad,Summer
Lettuce,Lactuca sativa,Herb,Yes,No,18,61,Full Sun,Temperate,Sandy,6.3,Medium,Weekly,5,89,Good,No,Aphids,Viral,High,High,Medium,Manure,Chennai,Winter
Chili,Capsicum annuum,Shrub,Yes,No,31,63,Shade,Temperate,Silt,5.6,Medium,Weekly,19,118,Good,No,None,Fungal,High,High,Medium,Vermicompost,Delhi,Summer
Radish,Raphanus sativus,Herb,Yes,No,17,87,Shade,Arid,Loam,7.0,Low,Daily,17,107,Good,Yes,Caterpillars,Bacterial,Medium,Medium,Medium,Compost,Delhi,Monsoon
Radish,Raphanus sativus,Herb,Yes,No,17,74,Partial Shade,Subtropical,Sandy,6.7,High,Daily,12,50,Bad,No,Caterpillars,Viral,Medium,High,Low,Vermicompost,Bangalore,Winter
Mint,Mentha,Herb,Yes,Yes,29,47,Partial Shade,Arid,Clay,5.5,Low,Weekly,11,99,Bad,Yes,Bacterial,None,Medium,Medium,Medium,Compost,Mumbai,Summer
Lettuce,Lactuca sativa,Herb,Yes,No,16,52,Partial Shade,Arid,Loam,5.5,Medium,Weekly,16,70,Good,No,None,Fungal,Low,Low,High,Vermicompost,Bangalore,Summer
Coriander,Coriandrum sativum,Herb,Yes,Yes,24,83,Full Sun,Subtropical,Clay,7.3,Low,Weekly,5,47,Good,Yes,Aphids,None,Low,Low,High,Compost,Mumbai,Monsoon
Tomato,Solanum lycopersicum,Herb,Yes,No,27,86,Full Sun,Tropical,Loam,6.9,Low,Daily,14,76,Bad,Yes,Aphids,Bacterial,Low,Low,Low,Manure,Bangalore,Monsoon
Mint,Mentha,Herb,Yes,Yes,31,48,Partial Shade,Arid,Peaty,6.6,Medium,Daily,16,42,Good,Yes,Fungal,None,High,Low,High,Vermicompost,Delhi,Summer
Mint,Mentha,Herb,Yes,Yes,16,43,Shade,Temperate,Silt,6.3,High,Weekly,15,115,Good,Yes,Aphids,Viral,Medium,High,Low,Compost,Chennai,Winter
Carrot,Daucus carota,Herb,Yes,No,18,43,Shade,Temperate,Clay,7.1,Low,Daily,7,71,Bad,No,Aphids,None,Low,Low,Low,Manure,Hyderabad,Monsoon
Basil,Ocimum basilicum,Herb,Yes,Yes,24,51,Full Sun,Arid,Sandy,6.4,High,Weekly,20,80,Good,No,Bacterial,Fungal,Low,High,Medium,Manure,Delhi,Summer
Tomato,Solanum lycopersicum,Herb,Yes,No,18,71,Shade,Temperate,Loam,6.8,Low,Weekly,18,110,Good,Yes,Caterpillars,None,Low,Medium,High,Compost,Mumbai,Summer
Tomato,Solanum lycopersicum,Herb,Yes,No,17,58,Shade,Tropical,Sandy,6.2,Medium,Daily,20,97,Good,Yes,Bacterial,Fungal,High,Medium,Medium,Compost,Hyderabad,Winter
Coriander,Coriandrum sativum,Herb,Yes,Yes,27,89,Shade,Arid,Peaty,7.2,Medium,Daily,12,78,Bad,No,Bacterial,Fungal,High,Low,High,Manure,Bangalore,Monsoon
Tomato,Solanum lycopersicum,Herb,Yes,No,24,70,Shade,Tropical,Silt,6.4,Low,Daily,11,32,Good,No,Fungal,Fungal,Medium,Medium,High,Vermicompost,Delhi,Summer
Carrot,Daucus carota,Herb,Yes,No,23,63,Full Sun,Arid,Loam,7.4,High,Weekly,13,45,Bad,Yes,Caterpillars,Bacterial,Medium,Medium,Low,Vermicompost,Mumbai,Winter
Coriander,Coriandrum sativum,Herb,Yes,Yes,15,51,Partial Shade,Temperate,Silt,6.4,Low,Weekly,17,33,Good,Yes,None,Viral,Low,High,Low,Compost,Bangalore,Winter
Coriander,Coriandrum sativum,Herb,Yes,Yes,16,76,Partial Shade,Arid,Loam,7.1,Medium,Daily,5,35,Good,No,None,Fungal,High,High,Medium,Vermicompost,Bangalore,Summer
Basil,Ocimum basilicum,Herb,Yes,Yes,28,61,Full Sun,Arid,Peaty,5.7,High,Daily,8,45,Bad,Yes,Bacterial,Fungal,High,High,Medium,Vermicompost,Delhi,Winter
Carrot,Daucus carota,Herb,Yes,No,17,69,Full Sun,Tropical,Peaty,6.7,Medium,Daily,12,45,Good,Yes,None,Viral,High,High,Low,Compost,Mumbai,Monsoon
Spinach,Spinacia oleracea,Herb,Yes,No,18,59,Shade,Temperate,Silt,5.6,Low,Daily,13,36,Bad,No,Caterpillars,None,Medium,Low,High,Compost,Delhi,Summer
Spinach,Spinacia oleracea,Herb,Yes,No,19,84,Partial Shade,Subtropical,Loam,7.2,High,Daily,17,60,Good,Yes,Bacterial,None,Medium,Low,Low,Compost,Hyderabad,Summer
Lettuce,Lactuca sativa,Herb,Yes,No,19,89,Shade,Arid,Peaty,6.4,Low,Daily,6,78,Bad,No,Bacterial,Fungal,Medium,Low,Low,Compost,Delhi,Summer
Spinach,Spinacia oleracea,Herb,Yes,No,34,84,Full Sun,Subtropical,Loam,7.0,Low,Weekly,7,45,Good,Yes,None,Viral,Low,High,Medium,Manure,Delhi,Winter
Pumpkin,Cucurbita pepo,Vine,Yes,No,29,71,Partial Shade,Arid,Sandy,7.4,Medium,Daily,7,83,Bad,No,Fungal,Viral,Low,High,High,Vermicompost,Bangalore,Summer
Pumpkin,Cucurbita pepo,Vine,Yes,No,35,43,Shade,Temperate,Sandy,6.2,High,Daily,9,103,Good,No,Fungal,Viral,High,Medium,High,Compost,Delhi,Summer
Chili,Capsicum annuum,Shrub,Yes,No,29,69,Shade,Subtropical,Loam,6.8,Medium,Weekly,18,53,Good,No,Fungal,Viral,Low,Medium,High,Manure,Delhi,Summer
Tomato,Solanum lycopersicum,Herb,Yes,No,30,88,Shade,Subtropical,Peaty,6.3,Medium,Weekly,12,71,Good,Yes,Aphids,Fungal,Low,Medium,Medium,Compost,Mumbai,Winter
Lettuce,Lactuca sativa,Herb,Yes,No,24,86,Full Sun,Arid,Clay,7.2,Low,Weekly,15,111,Bad,Yes,Caterpillars,Fungal,Medium,High,Low,Manure,Mumbai,Monsoon
